SessionNum,Elapsed Time,Clock Time,ProbSleepOnset,ProbDistraction,ProbLowEng,ProbHighEng,CogState,ProbFBDSWorkload,ProbBDSWorkload,ProbAveWorkload
184103000,00:14:40:000,01:19:18:797,1.29E-06,0,0.948594928,0.051403802,0.6,0.796865,0.767117,0.781991
184103000,00:14:41:000,01:19:19:801,3.26E-05,0,0.925869703,0.074097708,0.6,0.517733,0.495541,0.506637
184103000,00:14:42:000,01:19:20:799,1.48E-06,0,0.16319111,0.83680743,0.9,0.86124,0.716686,0.788963
184103000,00:14:43:000,01:19:21:803,5.19E-06,0,0.81026113,0.189733699,0.6,0.85846,0.714885,0.786673
184103000,00:14:44:000,01:19:22:797,2.40E-08,0,0.979004502,0.02099549,0.6,0.918296,0.792276,0.855286
184103000,00:14:45:000,01:19:23:796,1.24E-06,2.47E-09,0.253830791,0.746167958,0.9,0.608438,0.682884,0.645661
184103000,00:14:46:000,01:19:24:797,0.000917245,0,0.454361886,0.544720888,0.9,0.825775,0.626327,0.726051
184103000,00:14:47:000,01:19:25:795,0.000552391,0,0.124437988,0.875009596,0.9,0.569196,0.383633,0.476415
184103000,00:14:48:000,01:19:26:801,1.00E-05,1.24E-09,0.023814423,0.976175547,0.9,0.264407,0.285397,0.274902
184103000,00:14:49:000,01:19:27:800,0.063221209,0,0.519541502,0.417237312,0.6,0.444571,0.322994,0.383783
184103000,00:14:50:000,01:19:28:797,1.43E-05,0,0.554139853,0.445845813,0.6,0.55625,0.506153,0.531201
184103000,00:14:51:000,01:19:29:801,3.73E-05,0,0.022551721,0.977410972,0.9,0.749083,0.799451,0.774267
184103000,00:14:52:000,01:19:30:797,3.07E-05,0,0.091927439,0.908041894,0.9,0.88545,0.883828,0.884639
184103000,00:14:53:000,01:19:31:798,0.000206912,0,0.285583586,0.714209497,0.9,0.675987,0.424304,0.550146
184103000,00:14:54:000,01:19:32:797,1.37E-05,0,0.506714344,0.493271977,0.6,0.716458,0.702162,0.70931
184103000,00:14:55:000,01:19:33:803,0.037913598,5.23E-09,0.064321034,0.897765338,0.9,0.568427,0.489566,0.528996
184103000,00:14:56:000,01:19:34:805,0.000891898,5.84E-10,0.466045767,0.533062339,0.9,0.366788,0.176705,0.271747
184103000,00:14:57:000,01:19:35:803,4.52E-05,0,0.340110809,0.659843981,0.9,0.538126,0.416437,0.477282
184103000,00:14:58:000,01:19:36:801,1.09E-06,0,0.26728043,0.732718468,0.9,0.48454,0.382844,0.433692
184103000,00:14:59:000,01:19:37:801,0.000265882,0,0.936670184,0.06306392,0.6,0.838241,0.766623,0.802432
184103000,00:15:00:000,01:19:38:797,2.06E-07,0,0.000775005,0.999224782,0.9,0.740409,0.640954,0.690681
184103000,00:15:01:000,01:19:39:797,7.84E-05,0,0.614641249,0.385280311,0.6,0.832579,0.643878,0.738228
184103000,00:15:02:000,01:19:40:798,1.65E-05,0,0.012942347,0.987041175,0.9,0.532274,0.672635,0.602454
184103000,00:15:03:000,01:19:41:798,0.002520919,1.40E-08,0.234489962,0.762989104,0.9,0.527576,0.526292,0.526934
184103000,00:15:04:000,01:19:42:803,5.46E-08,0,0.816245079,0.183754861,0.6,0.778343,0.635376,0.70686
184103000,00:15:05:000,01:19:43:796,8.00E-06,0,0.004336414,0.995655596,0.9,0.711425,0.529535,0.62048
184103000,00:15:06:000,01:19:44:798,0.64086616,0,0.320305914,0.038827948,0.1,0.696601,0.709919,0.70326
184103000,00:15:07:000,01:19:45:797,0.368764222,0,0.004521376,0.626714408,0.9,0.627853,0.577809,0.602831
184103000,00:15:08:000,01:19:46:798,2.84E-05,0,0.486474484,0.513497055,0.9,0.609711,0.626014,0.617863
184103000,00:15:09:000,01:19:47:803,0.000618345,0,0.073979184,0.925402462,0.9,0.432541,0.491987,0.462264
184103000,00:15:10:000,01:19:48:795,5.04E-05,0,0.204740673,0.795208871,0.9,0.407916,0.416252,0.412084
184103000,00:15:11:000,01:19:49:802,6.96E-05,0,0.312414736,0.687515616,0.9,0.454289,0.432279,0.443284
184103000,00:15:12:000,01:19:50:797,3.09E-06,0,0.119041093,0.880955815,0.9,0.814318,0.632723,0.723521
184103000,00:15:13:000,01:19:51:807,0.014601028,0,0.425100565,0.560298443,0.9,0.78805,0.684005,0.736028
184103000,00:15:14:000,01:19:52:795,0.009284895,0,0.000988629,0.989726484,0.9,0.474075,0.371164,0.42262
184103000,00:15:15:000,01:19:53:796,0.000428509,0,0.026759192,0.972812295,0.9,0.616592,0.484792,0.550692
184103000,00:15:16:000,01:19:54:798,0.002360642,0,0.215956286,0.781683087,0.9,0.70119,0.757157,0.729174
184103000,00:15:17:000,01:19:55:798,0.001936779,0,0.065482147,0.932581067,0.9,0.445989,0.400421,0.423205
184103000,00:15:18:000,01:19:56:814,1.17E-05,0,0.003280415,0.996707857,0.9,0.389137,0.354127,0.371632
184103000,00:15:19:000,01:19:57:798,0.000454965,1.50E-11,0.653719604,0.345825404,0.6,0.765064,0.60586,0.685462
184103000,00:15:20:000,01:19:58:798,2.56E-05,2.61E-06,0.380706787,0.61926502,0.9,0.379024,0.297939,0.338482
184103000,00:15:21:000,01:19:59:802,0.000672397,4.52E-09,0.772741258,0.226586357,0.6,0.411082,0.351364,0.381223
184103000,00:15:22:000,01:20:00:811,1.38E-05,2.18E-09,0.731939614,0.268046618,0.6,0.760728,0.650342,0.705535
184103000,00:15:23:000,01:20:01:802,8.48E-05,0,0.01360424,0.986310959,0.9,0.751264,0.58762,0.669442
184103000,00:15:24:000,01:20:02:796,0.00069411,0,0.15347065,0.845835268,0.9,0.785695,0.64921,0.717453
184103000,00:15:25:000,01:20:03:796,0.000539452,0,0.009233708,0.990226865,0.9,0.541518,0.589015,0.565266
184103000,00:15:26:000,01:20:04:804,4.77E-05,0,0.005631514,0.99432081,0.9,0.412592,0.399331,0.405961
