@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute state {1,2}

@data
2.293840,2.376221,1.564596,0.937134,1
2.609387,2.321235,1.602014,0.999407,1
2.561457,2.390861,1.626329,0.943721,1
2.419030,2.274202,1.579707,1.046970,1
2.605774,2.289204,1.553573,1.029472,1
2.673260,2.279109,1.538827,0.973466,1
2.606361,2.351430,1.507498,0.978358,1
1.985782,2.316297,1.593652,1.073041,1
2.559356,2.489444,1.525509,1.117090,1
2.358639,2.221379,1.561273,1.048912,1
2.549870,2.250040,1.575148,0.891356,1
2.608855,2.292245,1.485303,0.860242,1
2.759501,2.275374,1.552094,1.084899,1
2.573851,2.118143,1.581412,1.055016,1
2.240096,2.058043,1.597572,1.090136,1
2.403293,2.417190,1.598071,1.102078,1
2.606349,2.462219,1.602318,1.030177,1
2.658391,2.274350,1.573813,1.152456,1
2.294027,2.365489,1.645958,1.139995,1
2.118479,2.503706,1.687776,1.076605,1
2.528378,2.605297,1.621571,1.118978,1
2.282695,2.607291,1.659497,1.078016,1
2.093977,2.607760,1.577024,1.065683,1
2.121300,2.391413,1.594283,1.036645,1
2.525712,2.383398,1.546095,0.962113,1
2.410499,2.227923,1.551703,1.093091,1
2.458080,2.331661,1.936220,1.716593,2
2.382025,2.155126,1.836164,1.839054,2
2.431439,2.501117,1.761167,1.508179,2
2.441439,2.573876,1.804747,1.586366,2
2.292248,2.139522,1.742919,1.523461,2
2.388153,2.473725,1.629399,1.468058,2
2.134108,2.485756,1.661786,1.470965,2
2.237454,2.419331,1.517960,1.317152,2
2.115557,2.632718,1.559681,1.155181,2
2.119384,2.486834,1.585126,1.262866,2
2.531084,2.690758,1.636227,1.176139,2
2.517009,2.500874,1.556306,1.014559,2
2.017358,2.346776,1.512106,1.053593,2
2.046208,2.169628,1.607398,1.187446,2
2.327202,2.341608,1.732384,1.275705,2
2.385262,2.452054,1.652934,1.276591,2
2.409178,2.507286,1.569064,1.412490,2
2.297600,2.489761,1.648690,1.406952,2
2.081619,2.397485,1.579082,1.285532,2
2.239680,2.335083,1.498323,1.207061,2
2.495891,2.258026,1.566863,1.402024,2
2.354252,2.161445,1.582981,1.381223,2
2.403939,2.229064,1.559025,1.130664,2
2.300448,2.541670,1.545712,1.196024,2
2.050419,2.454974,1.687130,1.232938,2
2.173151,2.478966,1.615351,1.227493,2
2.299726,2.397049,1.625526,1.377669,2
2.396591,2.109456,1.623419,1.313810,2
2.366110,2.140088,1.749332,1.530970,2
2.168861,2.233320,1.823073,1.711574,2
2.236296,2.374806,1.658245,1.374084,2
2.306607,2.298710,1.569594,1.172817,2
2.421212,2.543854,1.563427,1.237054,2
2.475149,2.451193,1.586996,1.276583,2
2.134059,2.471148,1.592327,1.249183,2
2.287515,2.595252,1.477618,1.244572,2
2.590989,2.512998,1.571461,1.016425,2
2.424405,2.339650,1.494022,1.013070,2
2.200703,2.317044,1.458454,1.233143,2
2.481287,2.253273,1.485987,1.184629,2
2.117711,2.048750,1.514762,1.220304,2
2.399702,2.032855,1.476123,1.122752,2
2.427714,2.269810,1.589951,1.248656,2
2.331363,2.143242,1.545187,1.221162,2
2.257758,2.220583,1.578416,1.239517,2
2.134820,2.529173,1.448189,1.214627,2
2.162784,2.450296,1.558524,1.294228,2
2.203018,2.273175,1.565816,1.352238,2
2.204248,2.198577,1.538764,1.104612,2
2.608128,2.303998,1.473190,1.217593,2
2.206814,2.139319,1.485939,1.208312,2
2.043284,2.360043,1.569394,1.121241,2
2.092827,2.518193,1.717547,1.190929,2
2.239372,2.452217,1.600095,1.125518,2
2.036958,2.253428,1.661426,1.123978,2
1.874740,2.511302,1.617165,1.188150,2
2.132784,2.351964,1.555645,1.175279,2
2.551641,2.402262,1.590224,1.194428,2
2.261189,2.307274,1.649964,1.123363,2
2.052638,2.069876,1.519664,1.131083,2
2.146692,2.431046,1.573162,1.244842,2
2.285131,2.519047,1.679170,1.331227,2
2.123169,2.417633,1.6260115000000002,1.2776135,2
1.961207,2.316219,1.572853,1.224000,2
2.010627,2.468864,1.552100,1.210716,2
2.008735,2.469996,1.494424,1.170414,2
2.168262,2.232713,1.446530,1.097038,2
