@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute state {1,2}

@data
1.233122,1.625475,1.732725,1.706013,2.136900,2.610625,2.494581,1.962647,2.457718,2.378176,2.382747,2.611476,2.418380,2.531322,1.657720,2.280733,2.092393,2.155873,2.418676,2.257246,2.369199,2.187755,2.407850,2.153599,2.297794,2.458073,2.227594,2.359976,1.773326,2.103178,1.916933,2.006913,2.215619,2.366213,2.338962,2.376596,2.594027,2.335712,2.475875,2.648654,2.423558,2.544362,2.021838,2.328263,2.409923,2.350175,2.360819,2.655653,2.567867,1.375635,1.719478,1.759133,1.688649,2.240682,2.358523,2.311979,1.475729,1.863442,1.680632,1.833420,1.947591,2.061961,2.015093,1
1.563728,2.115591,1.796087,1.963251,2.235713,2.777056,2.640570,1.879352,2.341325,2.167284,2.244663,1.976469,2.337663,2.233992,1.974609,2.460212,2.148074,2.319622,2.095412,2.307043,2.238955,2.066160,2.491091,2.102541,2.346277,2.034348,2.484262,2.375118,1.862276,2.008355,1.988669,2.011966,2.092291,2.209725,2.164711,2.265558,2.640545,2.210530,2.474027,2.022808,2.488409,2.367356,1.873050,2.051862,2.290439,2.194833,2.158444,2.276776,2.201835,1.482515,2.044532,1.957554,1.967249,2.063869,2.465763,2.344185,1.428070,1.773251,1.698324,1.764543,1.923576,2.128482,2.039920,1
1.874959,2.219372,2.246817,2.227253,2.604063,2.635318,2.615815,2.246593,2.299587,2.256683,2.289132,2.245275,2.354413,2.329871,2.203669,2.439534,2.382078,2.417851,2.326079,2.378683,2.377973,1.921729,2.336774,1.961950,2.232816,2.080182,2.279717,2.240793,1.904923,2.006581,2.077410,2.024984,2.033046,2.346043,2.279649,2.294621,2.409756,1.893988,2.274124,1.885002,2.179764,2.118683,2.302812,2.436711,2.448102,2.436975,2.266241,2.345482,2.323375,1.717436,2.226434,2.051067,2.139466,2.172836,2.125360,2.147503,1.632833,1.615214,1.815144,1.747014,1.780675,2.358270,2.225922,1
2.109983,2.331810,2.342284,2.340518,2.605299,2.426182,2.515637,2.169273,2.120462,2.331795,2.260326,2.376222,2.286322,2.348579,1.995108,2.158367,2.396158,2.299376,2.433972,2.305914,2.392392,2.362151,2.407125,2.068525,2.306892,2.224187,2.014824,2.144633,2.169804,2.364540,2.454403,2.391812,1.924598,2.228916,2.156138,2.732051,2.724967,2.212320,2.579780,2.337980,2.085540,2.223578,2.555443,2.741787,2.618309,2.679171,2.347444,2.615693,2.550128,1.984439,2.287656,2.103190,2.198832,2.178094,1.958108,2.053532,1.927568,1.877818,2.103435,2.032632,2.110383,2.194865,2.185035,1
2.151438,2.388283,2.251161,2.338216,2.485600,2.305923,2.371556,1.892189,1.928891,2.043016,2.012837,2.491251,2.321227,2.392326,2.088942,2.085854,2.241066,2.179663,2.510153,2.282310,2.393347,1.849603,1.971303,1.850306,1.937344,2.295607,2.206367,2.249351,1.979367,2.297579,2.358777,2.335680,2.137411,2.042449,2.075477,2.097236,2.339496,2.142306,2.281958,2.343585,2.204862,2.259935,2.291246,2.592078,2.477823,2.571495,2.295606,2.434683,2.399341,1.651770,2.004786,1.841339,1.937753,1.968860,1.628160,1.830009,1.765955,2.092268,2.240820,2.167896,2.095090,1.979530,2.016849,1
2.274530,2.617397,2.189853,2.456221,1.901031,2.502250,2.366751,2.520680,2.468089,2.206685,2.357285,2.599405,2.730792,2.668721,1.906321,1.982793,2.011574,1.987610,2.573846,2.732300,2.669329,2.924527,2.974038,2.462865,2.804695,2.452899,2.792198,2.668813,3.003633,2.809655,2.506284,2.712472,2.573479,2.319154,2.438601,3.081828,3.312428,2.903098,3.160152,2.688000,2.866515,2.777766,3.455924,3.233202,2.879768,3.124480,2.598540,2.529126,2.563545,2.232475,2.335838,2.066882,2.208252,2.113364,2.261272,2.203303,2.090615,2.337910,1.921512,2.171570,2.067279,2.246684,2.162557,1
2.002367,2.401776,2.108356,2.272909,1.886434,2.447088,2.324754,2.431365,2.294820,2.049103,2.215623,2.380812,2.550030,2.486824,1.788323,1.800778,1.875643,1.847355,2.427002,2.616384,2.540064,2.266121,2.474766,2.125887,2.330510,2.110452,2.566942,2.440116,2.576234,2.288775,2.244497,2.274535,2.625020,2.436106,2.498383,2.499310,2.808341,2.355342,2.627758,2.117452,2.592027,2.468022,3.002238,2.688097,2.376485,2.572942,2.526323,2.440366,2.462629,2.020428,2.280582,1.945392,2.152370,1.588618,2.142485,2.015851,1.735482,1.817736,1.611661,1.702732,2.177143,2.193815,2.151640,1
1.992981,2.181629,1.911614,2.083458,2.460036,2.284567,2.353027,1.983582,2.072736,1.857200,2.024600,2.542579,2.586489,2.518975,1.948604,2.157739,2.129156,2.153261,2.592067,2.658880,2.591713,1.805406,1.955817,1.616006,1.828183,2.386353,2.549104,2.426271,1.741935,1.869449,1.554532,1.777121,2.460603,2.423294,2.419219,1.845855,1.977986,1.672763,1.890146,2.419958,2.613074,2.490108,1.912144,2.074293,1.946144,2.032007,2.482085,2.370730,2.419283,1.749244,1.673305,1.548314,1.667809,2.252970,1.905114,2.057513,1.572656,1.551239,1.464498,1.571751,2.390291,2.112221,2.206254,1
2.146828,2.161467,2.048365,2.118248,2.563048,2.478199,2.500290,2.477452,2.551070,2.252712,2.483738,2.607870,2.391114,2.456656,2.520625,2.692122,2.506671,2.632088,2.617803,2.407380,2.472805,2.323241,2.237756,2.123401,2.238160,2.535358,2.456590,2.441285,2.521944,2.583118,2.140440,2.443298,2.471791,2.485038,2.480958,2.365676,2.300816,2.322119,2.366124,2.592798,2.485033,2.491746,2.775949,2.837179,2.239089,2.667119,2.740902,2.567800,2.645659,2.242955,2.320030,2.054454,2.216998,2.458301,2.168391,2.283429,2.097566,2.166834,2.026568,2.109360,2.344673,2.296947,2.318426,1
1.960726,2.167819,2.172384,2.162305,2.310090,2.523463,2.435758,2.208392,2.426930,2.177554,2.319834,2.159129,2.144963,2.098724,2.185991,2.504154,2.378686,2.431670,2.231529,2.148890,2.138944,2.202988,2.146380,2.166885,2.197596,2.353997,2.268922,2.262942,2.385471,2.483697,1.997243,2.302079,2.141695,2.288072,2.165673,2.366398,2.464336,2.403352,2.461528,2.460162,2.327678,2.368259,2.733973,2.806455,2.086363,2.598386,2.420011,2.488467,2.404387,1.952592,2.073105,2.125748,2.104660,2.336604,2.242678,2.225168,1.576596,2.029630,2.030645,1.981586,1.680136,2.084915,1.992341,1
